Stream,Depth
Metadata Attribute,Value
Frame Counter,101
Frame Timestamp,345799477
Time Of Arrival,1619087782100
Backend Timestamp,1619087782078
Frame Laser Power,100
Frame Laser Power Mode,0
Raw Frame Size,614400
